i,j
0,0
1,1
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,3
11,4
11,5
12,6
12,7
13,8
14,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
15,16
15,17
16,18
16,19
16,20
17,21
18,21
19,22
20,23
21,23
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,24
35,25
36,25
37,25
38,25
39,25
40,25
41,26
42,26
43,27
44,28
45,28
46,29
47,30
48,30
49,30
50,30
51,31
51,32
51,33
51,34
51,35
51,36
51,37
52,38
53,39
53,40
53,41
54,42
55,42
56,43
57,44
57,45
58,46
59,47
60,47
61,47
62,47
63,47
64,48
65,48
66,49
67,50
68,51
69,51
70,52
71,53
72,54
73,55
74,56
75,57
75,58
75,59
75,60
75,61
75,62
75,63
75,64
75,65
75,66
75,67
75,68
75,69
75,70
75,71
75,72
75,73
76,74
76,75
76,76
77,77
