time_s,participant_1,participant_2,participant_3
1110.832,-51.96,-12.4,-115.15
1110.84,-51.17,-47.59,-110.12
1110.847,-24.38,-71.33,-112.78
1110.855,-3.6,-85.39,-117.08
1110.863,-1.13,-94.59,-114.67
1110.87,-1.62,-99.98,-110.36
1110.878,-5.8,-103.68,-109.43
1110.886,-3.58,-102.65,-107.46
1110.893,30.64,-91.9,-104.95
1110.901,74.02,-79.8,-108.16
1110.909,84.73,-77.04,-113.24
1110.916,88.73,-77.9,-112.29
1110.924,123.57,-74.34,-107.11
1110.932,145.53,-72.11,-101.7
1110.94,116.81,-75.99,-95.77
1110.947,92.77,-78.43,-90.22
1110.955,97.84,-75.4,-86.0
1110.963,62.93,-74.29,-83.06
1110.97,-41.99,-77.09,-83.71
1110.978,-9.84,-77.09,-87.08
1110.986,-1.92,-76.16,-88.84
1110.993,-15.18,-79.94,-90.57
1111.001,-54.08,-81.46,-93.14
1111.009,-58.31,-75.14,-89.23
1111.016,-58.58,-70.58,-76.96
1111.024,-75.42,-72.64,-59.95
1111.032,-71.97,-72.66,-35.21
1111.04,-69.46,-68.32,-7.38
1111.047,-98.93,-66.1,4.71
1111.055,-110.54,-65.05,-9.9
1111.063,-80.65,-60.02,-41.0
1111.07,-79.92,-54.93,-53.03
1111.078,-90.14,-55.99,-28.88
1111.086,-73.03,-58.64,-22.77
1111.093,-49.26,-54.82,-40.49
1111.101,-50.13,-47.17,0.09
1111.109,-67.65,-45.88,14.49
1111.116,-86.12,-51.79,-75.9
1111.124,-97.78,-47.25,53.08
1111.132,-97.04,-40.92,824.47
1111.14,-86.63,-40.74,357.26
1111.147,-71.64,-37.09,301.18
1111.155,-62.75,-33.58,37.1
1111.163,-76.94,-34.97,-232.78
1111.17,-99.68,-31.06,-152.49
1111.178,-93.11,-18.6,-72.78
1111.186,-63.48,-15.49,-116.87
1111.193,-49.74,-26.21,-90.06
1111.201,-53.9,-30.64,-49.34
1111.209,-48.36,-23.36,-57.65
1111.216,-26.67,-21.13,-45.65
1111.224,-7.09,-23.66,-27.67
1111.232,-1.91,-12.27,-25.14
1111.24,-2.21,6.73,-10.62
1111.247,-1.06,6.69,7.33
1111.255,-7.87,-7.43,18.93
1111.263,-9.3,-8.56,38.98
1111.27,29.65,-3.08,64.95
1111.278,83.44,-12.08,92.53
1111.286,78.3,-20.96,131.35
1111.293,23.96,-11.49,176.94
1111.301,5.51,0.41,217.51
1111.309,29.07,6.3,259.4
1111.316,27.23,44.27,309.57
1111.324,-1.25,205.13,353.51
1111.332,-12.03,568.9,372.0
1111.34,-16.41,963.24,362.58
1111.347,-34.43,932.01,332.98
1111.355,-48.66,353.24,286.43
1111.363,-68.55,-191.47,220.77
1111.37,-92.45,-218.89,135.37
1111.378,-24.92,-28.27,39.31
1111.386,220.84,-34.1,-47.66
1111.393,628.45,-118.96,-112.99
1111.401,1047.97,-93.85,-161.08
1111.409,1094.52,-60.59,-194.85
1111.416,498.98,-81.86,-211.23
1111.424,-250.3,-76.9,-216.84
1111.432,-420.99,-48.0,-219.69
1111.44,-163.69,-50.18,-217.7
1111.447,-94.93,-61.81,-211.51
1111.455,-203.7,-49.37,-204.5
1111.463,-183.76,-27.37,-193.13
1111.47,-111.05,-13.92,-178.6
1111.478,-114.21,-6.67,-168.88
1111.486,-117.2,3.33,-161.94
1111.493,-99.79,19.17,-151.03
1111.501,-94.4,34.37,-140.2
1111.509,-74.79,47.24,-134.5
1111.516,-54.87,68.29,-128.89
1111.524,-64.13,99.43,-120.86
1111.532,-66.46,126.76,-116.68
1111.54,-67.82,142.52,-116.41
1111.547,-68.46,152.67,-112.96
1111.555,-55.46,162.61,-106.29
1111.563,-54.38,169.9,-98.13
1111.57,-54.48,168.6,-85.84
1111.578,-46.41,158.68,-75.41
1111.586,-41.33,148.66,-75.73
1111.593,-30.03,139.35,-79.63
1111.601,-10.9,117.13,-76.02
1111.609,-3.74,77.58,-68.0
1111.616,-1.03,34.62,-62.93
1111.624,16.96,-2.46,-61.0
1111.632,39.96,-36.42,-58.83
1111.64,56.74,-67.53,-54.57
1111.647,74.39,-91.14,-50.06
1111.655,90.58,-104.7,-47.63
1111.663,97.82,-110.51,-45.98
1111.67,104.38,-112.92,-44.08
1111.678,116.92,-115.33,-43.18
1111.686,121.13,-120.64,-42.78
1111.693,99.22,-119.54,-42.34
1111.701,57.36,-108.19,-41.89
