i,j
0,0
1,1
2,2
3,3
4,4
5,5
6,5
7,6
8,6
9,6
10,7
11,8
11,9
12,10
13,11
13,12
14,13
15,13
16,13
17,14
17,15
17,16
18,17
19,17
20,17
21,17
22,18
23,19
23,20
24,21
25,21
26,21
27,22
28,23
29,24
30,25
30,26
31,27
32,28
33,29
34,30
34,31
35,32
36,32
37,32
38,33
38,34
39,35
40,35
41,35
42,36
42,37
42,38
42,39
42,40
43,41
44,42
45,42
46,42
47,42
48,42
49,43
49,44
50,45
51,46
52,47
53,48
54,49
55,49
56,49
57,50
58,51
59,52
60,53
61,53
62,54
63,55
64,55
65,56
66,56
67,56
68,57
69,57
70,57
71,58
71,59
71,60
71,61
71,62
71,63
71,64
71,65
72,66
72,67
72,68
72,69
72,70
73,71
73,72
74,73
75,74
75,75
75,76
76,77
77,77
