participant,time_s,hr_bpm
participant_1,1111.409,87.0
participant_1,1112.205,75.4
participant_1,1112.933,82.4
participant_1,1113.624,86.9
participant_1,1114.362,81.2
participant_1,1115.038,88.8
participant_1,1115.843,74.5
participant_1,1116.565,83.2
participant_1,1117.215,92.2
participant_1,1117.848,94.8
participant_1,1118.471,96.3
participant_1,1119.245,77.5
participant_1,1119.918,89.1
participant_1,1120.615,86.1
participant_1,1121.248,94.7
participant_1,1121.873,96.0
participant_1,1122.553,88.2
participant_1,1123.231,88.5
participant_1,1123.905,89.0
participant_1,1124.585,88.2
participant_1,1125.258,89.2
participant_1,1125.928,89.4
participant_1,1126.676,80.3
participant_1,1127.337,90.7
participant_1,1128.148,73.9
participant_1,1129.031,68.0
participant_1,1129.875,71.1
participant_1,1130.653,77.1
participant_1,1131.436,76.6
participant_1,1132.198,78.7
participant_1,1133.143,63.5
participant_1,1133.991,70.8
participant_1,1134.84,70.7
participant_1,1135.588,80.1
participant_1,1136.432,71.1
participant_1,1137.299,69.2
participant_1,1138.162,69.5
participant_1,1139.029,69.3
participant_1,1139.877,70.8
participant_1,1140.717,71.4
participant_1,1141.43,84.1
participant_1,1142.274,71.1
participant_1,1143.229,62.8
participant_1,1144.193,62.2
participant_1,1145.057,69.5
participant_1,1146.177,53.6
participant_1,1147.05,68.8
participant_1,1147.985,64.2
participant_1,1148.775,75.9
participant_1,1149.69,65.6
participant_1,1150.559,69.0
participant_1,1151.488,64.6
participant_1,1152.328,71.4
participant_1,1153.186,70.0
participant_1,1153.995,74.1
participant_1,1154.838,71.2
participant_1,1155.672,72.0
participant_1,1156.559,67.6
participant_1,1157.447,67.6
participant_1,1158.245,75.2
participant_1,1159.076,72.2
participant_1,1159.997,65.2
participant_1,1160.759,78.8
participant_1,1161.645,67.7
participant_1,1162.437,75.8
participant_1,1163.253,73.5
participant_1,1164.159,66.2
participant_1,1165.077,65.3
participant_1,1165.961,67.9
participant_1,1166.901,63.8
participant_1,1167.732,72.1
participant_1,1168.592,69.8
participant_1,1169.511,65.3
participant_1,1170.408,66.8
participant_1,1171.173,78.4
participant_1,1171.902,82.3
participant_1,1172.62,83.6
participant_1,1173.434,73.7
participant_1,1174.213,77.1
