pair,time_s,r
p1p2,30.0,-0.26
p1p2,40.0,-0.1499
p1p2,50.0,-0.2712
p1p2,60.0,-0.1445
p1p2,70.0,0.0135
p1p2,80.0,0.1694
p1p2,90.0,0.1187
p1p2,100.0,0.0907
p1p2,110.0,0.3669
p1p2,120.0,0.2294
p1p2,130.0,0.2341
p1p2,140.0,-0.0946
p1p2,150.0,0.0076
p1p2,160.0,0.0658
p1p2,170.0,0.0395
p1p2,180.0,0.1946
p1p2,190.0,0.1519
p1p2,200.0,0.0841
p1p2,210.0,0.1238
p1p2,220.0,0.1024
p1p2,230.0,0.1446
p1p2,240.0,-0.1348
p1p2,250.0,-0.1245
p1p2,260.0,-0.0858
p1p2,270.0,-0.0725
p1p2,280.0,-0.1517
p1p2,290.0,-0.1629
p1p2,300.0,-0.0455
p1p2,310.0,0.0628
p1p2,320.0,0.2263
p1p2,330.0,0.2116
p1p2,340.0,0.2482
p1p2,350.0,0.3582
p1p2,360.0,0.3336
p1p2,370.0,0.1544
p1p2,380.0,0.0835
p1p2,390.0,0.0836
p1p2,400.0,0.1183
p1p2,410.0,0.1803
p1p2,420.0,0.3373
p1p2,430.0,0.3924
p1p2,440.0,0.4855
p1p2,450.0,0.4817
p1p2,460.0,0.4052
p1p2,470.0,0.2061
p1p2,480.0,-0.2154
p1p2,490.0,-0.1722
p1p2,500.0,0.1397
p1p2,510.0,0.2447
p1p2,520.0,0.2448
p1p2,530.0,0.1729
p1p2,540.0,0.2487
p1p2,550.0,0.1486
p1p2,560.0,0.169
p1p2,570.0,0.268
p1p2,580.0,0.2016
p1p2,590.0,0.1529
p1p2,600.0,-0.0277
p1p2,610.0,-0.112
p1p2,620.0,-0.1698
p1p2,630.0,-0.1548
p1p2,640.0,-0.0369
p1p2,650.0,-0.0738
p1p2,660.0,-0.0033
p1p2,670.0,0.1041
p1p2,680.0,0.0461
p1p2,690.0,-0.017
p1p2,700.0,-0.0714
p1p2,710.0,0.2272
p1p2,720.0,0.0894
p1p2,730.0,-0.1222
p1p2,740.0,-0.0151
p1p2,750.0,0.1216
p1p2,760.0,-0.0219
p1p2,770.0,-0.0948
p1p2,780.0,-0.1767
p1p2,790.0,-0.1706
p1p2,800.0,-0.2032
p1p2,810.0,-0.171
p1p2,820.0,-0.2432
p1p2,830.0,-0.2762
p1p2,840.0,-0.001
p1p2,850.0,0.2262
p1p2,860.0,0.1243
p1p2,870.0,0.1707
p1p2,880.0,0.2575
p1p2,890.0,0.306
p1p2,900.0,0.1192
p1p2,910.0,0.1116
p1p2,920.0,0.0583
p1p2,930.0,-0.0246
p1p2,940.0,0.1624
p1p2,950.0,0.0913
p1p2,960.0,-0.0712
p1p2,970.0,-0.1933
p1p2,980.0,0.2818
p1p2,990.0,0.1993
p1p2,1000.0,0.1258
p1p2,1010.0,0.1118
p1p2,1020.0,0.0407
p1p2,1030.0,0.1866
p1p2,1040.0,0.3047
p1p2,1050.0,0.3046
p1p2,1060.0,0.4781
p1p2,1070.0,0.4503
p1p2,1080.0,0.5504
p1p2,1090.0,0.4142
p1p2,1100.0,0.225
p1p2,1110.0,0.0906
p1p2,1120.0,0.0423
p1p2,1130.0,0.0792
p1p2,1140.0,-0.1014
p1p2,1150.0,0.0378
p1p2,1160.0,0.2684
p1p2,1170.0,0.3009
p1p2,1180.0,0.2585
p1p2,1190.0,0.0386
p1p2,1200.0,-0.0632
p1p2,1210.0,-0.0054
p1p2,1220.0,0.1348
p1p2,1230.0,0.1627
p1p2,1240.0,-0.1078
p1p2,1250.0,-0.1633
p1p2,1260.0,-0.1179
p1p2,1270.0,-0.1032
p1p2,1280.0,-0.1059
p1p2,1290.0,-0.005
p1p2,1300.0,-0.0026
