pair,time_s,lag_s,r
p1p2,120.0,10.0,0.3556
p1p2,150.0,-10.0,0.5508
p1p2,180.0,-10.0,0.5867
p1p2,210.0,-10.0,0.7168
p1p2,240.0,50.0,-0.3974
p1p2,270.0,90.0,0.3965
p1p2,300.0,50.0,-0.4677
p1p2,330.0,90.0,0.4277
p1p2,360.0,-40.0,0.572
p1p2,390.0,90.0,0.4578
p1p2,420.0,-70.0,-0.4837
p1p2,450.0,-70.0,-0.7247
p1p2,480.0,-80.0,-0.7496
p1p2,510.0,-80.0,-0.7371
p1p2,540.0,-80.0,-0.7824
p1p2,570.0,-80.0,-0.6346
p1p2,600.0,-80.0,-0.3976
p1p2,630.0,-40.0,0.4419
p1p2,660.0,90.0,0.6036
p1p2,690.0,-90.0,0.475
p1p2,720.0,-90.0,0.482
p1p2,750.0,40.0,0.6112
p1p2,780.0,40.0,0.5792
p1p2,810.0,40.0,0.5702
p1p2,840.0,80.0,-0.6833
p1p2,870.0,80.0,-0.6339
p1p2,900.0,-40.0,-0.4698
p1p2,930.0,-20.0,0.563
p1p2,960.0,-20.0,0.5868
p1p2,990.0,-10.0,0.6162
p1p2,1020.0,-10.0,0.6722
p1p2,1050.0,-10.0,0.6158
p1p2,1080.0,-10.0,0.6335
p1p2,1110.0,-10.0,0.6203
p1p2,1140.0,-70.0,-0.3148
p1p2,1320.8,40.0,-0.4999
p1p2,1350.8,-10.0,0.749
p1p2,1380.8,-60.0,-0.5394
p1p2,1410.8,-60.0,-0.6584
p1p2,1440.8,-60.0,-0.6496
p1p2,1470.8,-60.0,-0.5989
p1p2,1500.8,-60.0,-0.4931
p1p2,1530.8,10.0,-0.5048
p1p2,1560.8,10.0,-0.5895
p1p2,1590.8,10.0,-0.5353
p1p2,1620.8,-10.0,0.3447
p1p2,1650.8,60.0,0.4371
p1p2,1680.8,60.0,0.4931
p1p2,1710.8,-50.0,0.6133
p1p2,1740.8,-50.0,0.5864
p1p2,1770.8,-50.0,0.6346
p1p2,1800.8,-50.0,0.6397
p1p2,1830.8,-50.0,0.5731
p1p2,1860.8,-40.0,0.6038
p1p2,1890.8,-40.0,0.6045
p1p2,1920.8,-40.0,0.4318
p1p2,1950.8,-40.0,0.5078
p1p2,1980.8,-60.0,-0.5822
p1p2,2010.8,-90.0,0.6066
p1p2,2040.8,-10.0,-0.5909
p1p2,2070.8,60.0,0.5222
p1p2,2100.8,60.0,0.5865
p1p2,2130.8,60.0,0.479
p1p2,2160.8,-20.0,-0.5264
p1p2,2190.8,70.0,0.5803
p1p2,2220.8,-80.0,0.5417
p1p2,2250.8,-80.0,0.5293
p1p2,2280.8,-30.0,-0.4997
p1p2,2310.8,-90.0,0.617
p1p2,2340.8,-90.0,0.5738
p1p2,2370.8,-40.0,0.4371
p1p2,2400.8,-50.0,0.4546
p1p2,2430.8,-50.0,0.5177
p1p2,2460.8,40.0,-0.3908
p1p2,2490.8,-40.0,-0.4339
p1p2,2520.8,-30.0,0.5272
p1p2,2550.8,-30.0,0.5267
p1p2,2580.8,-30.0,0.518
p1p2,2610.8,50.0,0.6202
p1p2,2640.8,50.0,0.6381
p1p2,2670.8,50.0,0.55
p1p2,2700.8,10.0,0.7045
p1p2,2730.8,50.0,0.5563
p1p2,2760.8,50.0,0.5896
p1p2,2790.8,50.0,0.622
p1p2,2820.8,50.0,0.4758
p1p2,2850.8,60.0,0.5132
p1p2,2880.8,-70.0,0.4268
p1p2,2910.8,-70.0,0.448
p1p2,2940.8,10.0,-0.6037
p1p2,2970.8,10.0,-0.6603
p1p2,3000.8,10.0,-0.4772
p1p2,3030.8,-30.0,0.4583
p1p2,3060.8,-30.0,0.4808
p1p2,3090.8,-30.0,0.5047
p1p2,3120.8,40.0,0.4542
p1p2,3150.8,40.0,0.4833
p1p2,3180.8,40.0,0.4833
p1p2,3210.8,50.0,0.5379
p1p2,3240.8,50.0,0.62
p1p2,3270.8,50.0,0.7127
p1p2,3300.8,40.0,0.4107
p1p2,3330.8,-30.0,-0.381
p1p2,3360.8,-30.0,-0.4852
p1p2,3390.8,40.0,0.4232
p1p2,3420.8,40.0,0.4151
p1p2,3450.8,40.0,0.5108
p1p2,3480.8,40.0,0.4903
p1p2,3510.8,-20.0,0.5668
p1p2,3540.8,-30.0,0.5751
p1p2,3570.8,-30.0,0.6035
p1p2,3600.8,-30.0,0.6724
p1p2,3630.8,-30.0,0.6896
p1p2,3660.8,-30.0,0.7217
p1p2,3690.8,-30.0,0.8639
p1p2,3720.8,-30.0,0.6231
p1p2,3750.8,-30.0,0.6381
p1p2,3780.8,-30.0,0.4304
p1p2,3810.8,-60.0,-0.4371
p1p2,3840.8,-50.0,-0.3591
p1p2,3870.8,20.0,-0.5627
p1p2,3900.8,-10.0,0.5211
p1p2,3930.8,-10.0,0.4626
p1p2,3960.8,60.0,-0.4872
p1p2,3990.8,60.0,-0.6078
p1p2,4020.8,60.0,-0.572
p1p2,4050.8,-80.0,-0.6591
p1p2,4080.8,0.0,0.6444
p1p2,4110.8,-70.0,0.3923
p1p2,4140.8,-70.0,0.3746
p1p2,4170.8,-70.0,0.4758
p1p2,4200.8,20.0,-0.5419
p1p2,4230.8,70.0,0.5149
p1p2,4260.8,40.0,-0.5501
p1p2,4290.8,40.0,-0.5269
p1p2,4320.8,40.0,-0.5143
p1p2,4350.8,30.0,-0.6983
p1p2,4380.8,30.0,-0.7519
p1p2,4410.8,-40.0,0.6222
p1p2,4440.8,-40.0,0.5023
p1p2,4470.8,-50.0,0.5909
p1p2,4500.8,-20.0,0.5529
p1p2,4530.8,-20.0,0.6489
p1p2,4560.8,-20.0,0.6534
p1p2,4590.8,90.0,0.5974
p1p2,4620.8,-90.0,-0.2988
p1p2,4650.8,-20.0,-0.4388
p1p2,4680.8,-90.0,-0.3751
p1p2,4710.8,-70.0,0.5039
p1p2,4740.8,-70.0,0.5063
p1p2,4770.8,80.0,0.4685
p1p2,4800.8,-10.0,-0.6051
p1p2,4830.8,80.0,0.3995
p1p2,4860.8,-10.0,-0.3652
p1p2,4890.8,30.0,0.55
p1p2,4920.8,30.0,0.5537
p1p2,4950.8,30.0,0.5727
p1p2,4980.8,30.0,0.445
p1p2,5010.8,40.0,0.4179
p1p2,5040.8,30.0,0.6394
p1p2,5070.8,30.0,0.6859
p1p2,5100.8,30.0,0.522
p1p2,5130.8,-60.0,-0.5068
p1p2,5160.8,-60.0,-0.4339
p1p2,5190.8,-60.0,-0.4121
p1p2,5220.8,-60.0,-0.5746
p1p2,5250.8,-60.0,-0.5328
p1p2,5280.8,-60.0,-0.4368
p1p2,5310.8,-10.0,0.394
p1p2,5340.8,-60.0,-0.4638
p1p2,5370.8,-90.0,0.5675
p1p2,5400.8,-60.0,-0.473
p1p2,5430.8,-60.0,-0.4231
p1p2,5460.8,60.0,-0.4645
p1p2,5490.8,60.0,-0.5372
p1p2,5520.8,-40.0,-0.5382
p1p2,5550.8,-40.0,-0.6157
p1p2,5580.8,-40.0,-0.8053
p1p2,5610.8,-40.0,-0.7354
p1p2,5640.8,-40.0,-0.7003
p1p2,5670.8,90.0,0.4423
p1p2,5700.8,60.0,-0.5037
p1p2,5730.8,60.0,-0.4405
p1p2,5760.8,80.0,-0.5943
p1p2,5790.8,60.0,-0.3896
p1p2,5820.8,70.0,-0.3936
p1p2,5850.8,30.0,0.7576
p1p2,5880.8,-40.0,0.5672
p1p2,5910.8,-10.0,-0.4727
p2p3,120.0,70.0,-0.4095
p2p3,150.0,70.0,-0.4897
p2p3,180.0,70.0,-0.4798
p2p3,210.0,-80.0,-0.6308
p2p3,240.0,-80.0,-0.671
p2p3,270.0,-50.0,0.5812
p2p3,300.0,-50.0,0.4028
p2p3,330.0,60.0,0.4911
p2p3,360.0,60.0,0.5978
p2p3,390.0,20.0,-0.6326
p2p3,420.0,10.0,-0.6283
p2p3,450.0,10.0,-0.6645
p2p3,480.0,10.0,-0.6886
p2p3,510.0,0.0,-0.5449
p2p3,540.0,70.0,-0.4565
p2p3,570.0,-30.0,0.3944
p2p3,600.0,70.0,-0.4293
p2p3,630.0,70.0,-0.5473
p2p3,660.0,-60.0,-0.525
p2p3,690.0,70.0,-0.5267
p2p3,720.0,-60.0,-0.4811
p2p3,750.0,70.0,-0.414
p2p3,780.0,-60.0,-0.475
p2p3,810.0,80.0,-0.5497
p2p3,840.0,80.0,-0.6047
p2p3,870.0,80.0,-0.7494
p2p3,900.0,0.0,-0.5791
p2p3,930.0,0.0,-0.6747
p2p3,960.0,40.0,0.5686
p2p3,990.0,0.0,-0.6199
p2p3,1020.0,-20.0,-0.6533
p2p3,1050.0,0.0,-0.6515
p2p3,1080.0,-10.0,-0.663
p2p3,1110.0,-30.0,-0.6202
p2p3,1140.0,-20.0,-0.4295
p2p3,1320.8,40.0,0.2782
p2p3,1350.8,-30.0,0.3159
p2p3,1380.8,-30.0,0.3653
p2p3,1410.8,-80.0,-0.6276
p2p3,1440.8,-80.0,-0.5574
p2p3,1470.8,-60.0,0.554
p2p3,1500.8,-60.0,0.6028
p2p3,1530.8,70.0,0.5678
p2p3,1560.8,-60.0,0.582
p2p3,1590.8,-60.0,0.5684
p2p3,1620.8,-40.0,0.4919
p2p3,1650.8,-40.0,0.433
p2p3,1680.8,80.0,0.5976
p2p3,1710.8,80.0,0.6811
p2p3,1740.8,80.0,0.8112
p2p3,1770.8,-40.0,0.7622
p2p3,1800.8,80.0,0.6517
p2p3,1830.8,80.0,0.6555
p2p3,1860.8,30.0,-0.426
p2p3,1890.8,-90.0,0.3767
p2p3,1920.8,-90.0,0.3699
p2p3,1950.8,-90.0,-0.3526
p2p3,1980.8,-90.0,-0.3868
p2p3,2010.8,-90.0,-0.6276
p2p3,2040.8,60.0,0.4929
p2p3,2070.8,60.0,0.4713
p2p3,2100.8,60.0,0.4405
p2p3,2130.8,70.0,0.5677
p2p3,2160.8,70.0,0.5714
p2p3,2190.8,70.0,0.5333
p2p3,2220.8,70.0,0.4685
p2p3,2250.8,-20.0,-0.4853
p2p3,2280.8,-70.0,-0.3479
p2p3,2310.8,-20.0,-0.3189
p2p3,2340.8,40.0,0.3773
p2p3,2370.8,-40.0,-0.4669
p2p3,2400.8,-40.0,-0.4449
p2p3,2430.8,-60.0,-0.5632
p2p3,2460.8,80.0,0.5417
p2p3,2490.8,50.0,-0.6704
p2p3,2520.8,50.0,-0.5261
p2p3,2550.8,50.0,-0.4575
p2p3,2580.8,50.0,-0.4674
p2p3,2610.8,50.0,-0.4986
p2p3,2640.8,-90.0,-0.4325
p2p3,2670.8,-30.0,-0.3903
p2p3,2700.8,-20.0,0.7904
p2p3,2730.8,-20.0,0.5451
p2p3,2760.8,60.0,-0.7245
p2p3,2790.8,60.0,-0.6424
p2p3,2820.8,-60.0,0.4821
p2p3,2850.8,80.0,0.4135
p2p3,2880.8,-60.0,0.3749
p2p3,2910.8,-60.0,0.3812
p2p3,2940.8,-30.0,-0.4216
p2p3,2970.8,-30.0,-0.4395
p2p3,3000.8,-80.0,0.4347
p2p3,3030.8,-10.0,-0.5016
p2p3,3060.8,-10.0,-0.4215
p2p3,3090.8,-10.0,-0.5714
p2p3,3120.8,-10.0,-0.5334
p2p3,3150.8,-10.0,-0.5517
p2p3,3180.8,-10.0,-0.48
p2p3,3210.8,-10.0,-0.4611
p2p3,3240.8,-10.0,-0.5384
p2p3,3270.8,-40.0,0.4758
p2p3,3300.8,40.0,0.4577
p2p3,3330.8,-50.0,-0.4411
p2p3,3360.8,-50.0,-0.4836
p2p3,3390.8,-10.0,-0.3011
p2p3,3420.8,-20.0,0.3194
p2p3,3450.8,-10.0,-0.3544
p2p3,3480.8,-20.0,0.3704
p2p3,3510.8,-80.0,0.4176
p2p3,3540.8,-50.0,0.4138
p2p3,3570.8,10.0,0.3206
p2p3,3600.8,-40.0,0.3825
p2p3,3630.8,-40.0,0.4572
p2p3,3660.8,-30.0,0.3507
p2p3,3690.8,50.0,-0.4054
p2p3,3720.8,-50.0,-0.4788
p2p3,3750.8,50.0,-0.5101
p2p3,3780.8,-10.0,-0.5539
p2p3,3810.8,-10.0,-0.531
p2p3,3840.8,-70.0,0.4626
p2p3,3870.8,-70.0,0.4841
p2p3,3900.8,-30.0,0.4789
p2p3,3930.8,-30.0,0.4726
p2p3,3960.8,80.0,0.5175
p2p3,3990.8,80.0,0.5087
p2p3,4020.8,20.0,-0.5536
p2p3,4050.8,-60.0,0.5122
p2p3,4080.8,-60.0,0.423
p2p3,4110.8,40.0,-0.4176
p2p3,4140.8,-40.0,0.603
p2p3,4170.8,30.0,-0.5843
p2p3,4200.8,30.0,-0.5384
p2p3,4230.8,30.0,-0.5461
p2p3,4260.8,30.0,-0.5992
p2p3,4290.8,90.0,0.5583
p2p3,4320.8,90.0,0.4437
p2p3,4350.8,90.0,0.4812
p2p3,4380.8,90.0,0.4619
p2p3,4410.8,60.0,0.4936
p2p3,4440.8,-90.0,0.7477
p2p3,4470.8,-90.0,0.6328
p2p3,4500.8,-90.0,0.6761
p2p3,4530.8,-20.0,0.4783
p2p3,4560.8,-10.0,0.5067
p2p3,4590.8,80.0,-0.6028
p2p3,4620.8,80.0,-0.6192
p2p3,4650.8,20.0,0.5759
p2p3,4680.8,-20.0,0.5198
